iter	Passed	Remaining
0	0	994
1	1	911
2	2	867
3	3	829
4	4	815
5	4	803
6	5	791
7	6	782
8	7	777
9	7	770
10	9	854
11	11	970
12	12	963
13	13	962
14	14	951
15	15	938
16	16	926
17	16	917
18	17	905
19	18	898
20	19	889
21	19	880
22	20	871
23	21	865
24	22	860
25	22	853
26	23	849
27	25	895
28	26	896
29	27	891
30	28	886
31	29	880
32	29	874
33	30	869
34	31	863
35	32	858
36	32	853
37	33	849
38	34	846
39	35	842
40	35	839
41	36	834
42	37	829
43	38	839
44	41	886
45	42	881
46	43	875
47	43	870
48	44	865
49	45	859
50	45	854
51	46	848
52	47	842
53	47	837
54	48	832
55	49	828
56	49	824
57	50	819
58	51	815
59	52	817
60	53	816
61	54	818
62	55	822
63	56	820
64	57	823
65	58	822
66	58	820
67	59	817
68	60	813
69	60	809
70	61	805
71	62	801
72	62	798
73	63	796
74	64	793
75	64	790
76	65	786
77	66	783
78	69	813
79	70	813
80	71	815
81	72	812
82	72	805
83	73	802
84	74	799
85	74	796
86	75	793
87	76	792
88	77	790
89	78	788
90	78	785
91	79	783
92	80	780
93	81	789
94	83	791
95	83	790
96	84	787
97	85	784
98	85	781
99	86	778
100	87	776
101	87	773
102	88	771
103	89	768
104	89	766
105	90	765
106	91	763
107	92	760
108	92	758
109	93	755
110	94	753
111	94	751
112	95	748
113	98	762
114	99	764
115	100	763
116	100	761
117	101	758
118	102	756
119	102	753
120	103	751
121	104	748
122	104	746
123	105	744
124	106	742
125	106	740
126	107	737
127	107	735
128	108	733
129	109	731
130	109	729
131	111	734
132	112	734
133	113	733
134	114	732
135	115	731
136	115	729
137	116	727
138	117	725
139	117	723
140	118	723
141	119	720
142	120	720
143	121	720
144	121	719
145	122	717
146	123	715
147	123	713
148	124	711
149	125	709
150	127	716
151	128	715
152	129	715
153	129	713
154	130	711
155	131	709
156	131	707
157	132	706
158	133	704
159	133	702
160	134	699
161	134	697
162	135	695
163	136	694
164	136	692
165	137	690
166	138	689
167	138	687
168	139	685
169	140	684
170	140	682
171	143	689
172	144	689
173	144	687
174	145	686
175	146	684
176	147	683
177	147	682
178	148	680
179	149	678
180	149	677
181	150	675
182	151	674
183	151	672
184	152	670
185	152	669
186	153	667
187	154	666
188	154	664
189	155	663
190	156	661
191	158	666
192	159	665
193	159	664
194	160	663
195	161	663
196	162	661
197	162	660
198	163	658
199	164	656
200	164	655
201	165	654
202	166	652
203	166	651
204	167	649
205	168	648
206	168	646
207	169	645
208	170	643
209	170	642
210	171	641
211	173	645
212	174	645
213	175	643
214	176	643
215	176	641
216	177	640
217	178	639
218	178	637
219	179	636
220	180	634
221	180	633
222	181	631
223	182	630
224	182	629
225	183	627
226	184	626
227	184	625
228	185	624
229	186	622
230	186	621
231	189	626
232	190	626
233	191	625
234	191	623
235	192	622
236	192	621
237	193	619
238	194	618
239	194	617
240	195	615
241	196	614
242	196	613
243	197	612
244	198	610
245	198	609
246	199	608
247	200	607
248	200	605
249	201	604
250	202	603
251	204	605
252	205	605
253	205	604
254	206	603
255	207	602
256	207	601
257	208	600
258	209	598
259	210	597
260	210	597
261	211	596
262	212	595
263	213	594
264	213	593
265	214	592
266	215	590
267	215	589
268	217	589
269	218	591
270	219	591
271	220	589
272	221	588
273	221	587
274	222	586
275	223	585
276	223	583
277	224	582
278	225	581
279	225	580
280	226	579
281	227	578
282	227	577
283	228	575
284	229	574
285	229	573
286	230	572
287	231	571
288	233	574
289	234	574
290	235	573
291	236	572
292	236	571
293	237	570
294	238	568
295	238	567
296	239	566
297	240	565
298	240	564
299	241	563
300	242	562
301	242	561
302	243	559
303	244	558
304	244	557
305	245	556
306	246	555
307	246	554
308	249	557
309	250	556
310	250	555
311	251	555
312	252	554
313	253	552
314	253	551
315	254	550
316	255	549
317	255	548
318	256	547
319	257	546
320	257	545
321	258	543
322	259	542
323	259	541
324	260	540
325	261	539
326	261	538
327	263	540
328	264	539
